transport_id_bas,MobDr1to4_od30,MobDr1to6_od30,MobDr1to6_od10,MobDr1to6_od15,num,month_decision,amt_decision_w,amt_loan_w,dataloan_channel,age,id,transport_id,platform,income,debt,amountCents,risk,totalGMVAYear,costAYear,feesAyear,month,debtAYear,grossProfit,grossRate,netProfit,actualNetProfit,netProfitAfterCAP,beforeRiskamt,riskScore,afterRiskAmt,software_quota,ccrc_quota,bankflow_quota,com_quota,limit_before_loan,limit_debt,limit_after_loan,created,software,software_quota2,ccrc_income,ibs_income,comprehensive_income
196569,0,0,0,0,1,2017-07,5,5,管家婆,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196204,0,0,0,0,1,2017-07,6.1,6.0973,管家婆,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196609,0,0,0,0,1,2017-07,3.4,3.4297,管家婆,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196130,0,0,0,0,1,2017-07,6.4,6.3514,管家婆,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197155,0,0,0,0,1,2017-07,5,5,管家婆,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202268,0,0,0,0,1,2017-08,17.766,17.7837,管家婆,31,3520,202268,pgjp,151453.9633,247230.395,0,0.876827513,0,0,0,0,0,0,0,0,0,0,0,0,0,129317.4542,240000,104560.8797,0,0,247230.395,0,2018/4/19 16:49,pgjp,129317.4542,240000,104560.8797,0
202124,0,0,0,0,1,2017-08,5.994,6,管家婆,37,3519,202124,pgjp,77516.76807,793157.7806,0,0.895149456,0,0,0,0,0,0,0,0,0,0,0,0,0,65364.02421,126127.7435,250988.6567,0,0,793157.7806,0,2018/4/19 16:49,pgjp,65364.02421,126127.7435,250988.6567,0
201867,0,0,0,0,1,2017-08,25,12.127,管家婆,50,3515,201867,pgjp,259420.4684,981826.2057,0,0.880890393,0,0,0,0,0,0,0,0,0,0,0,0,0,443751.2909,240000,298261.4052,0,0,981826.2057,0,2018/4/19 16:49,pgjp,443751.2909,240000,298261.4052,0
201857,0,0,1,0,1,2017-08,21.6,21.6,管家婆,28,3514,201857,pgjp,289049.3875,335988.4291,0,0.858352857,0,0,0,0,0,0,0,0,0,0,0,0,0,338855.1164,89826.4716,285397.6744,0,0,335988.4291,0,2018/4/19 16:49,pgjp,338855.1164,89826.4716,285397.6744,0
201453,0,0,0,0,1,2017-08,10.8,10.8,管家婆,33,3513,201453,pgjp,19026.46649,110645.7474,0,0.817801203,0,0,0,0,0,0,0,0,0,0,0,0,0,102286.4133,25183.14652,6713.106429,0,0,110645.7474,0,2018/4/19 16:49,pgjp,102286.4133,25183.14652,6713.106429,0
201010,0,0,0,0,1,2017-08,22.842,22.86,管家婆,31,3511,201010,pgjp,138051.3495,107355.3594,5911.185067,0.861673106,0,0,0,0,0,0,0,0,0,0,0,0,0,163564.1869,36000,133092.0579,591118.5067,0,107355.3594,0,2018/4/19 16:49,pgjp,163564.1869,36000,133092.0579,5911.185067
200863,0,0,0,0,1,2017-08,25,24.9999,管家婆,42,3510,200863,pgjp,336860.4049,64176.75212,278465.0286,0.918412267,0,0,0,0,0,0,0,0,0,0,0,0,0,396786.1142,97157.56754,406305.2931,27846502.86,0,64176.75212,0,2018/4/19 16:49,pgjp,396786.1142,97157.56754,406305.2931,278465.0286
200702,0,0,0,0,1,2017-08,15.228,15.24,管家婆,32,3509,200702,pgjp,88994.54731,209636.6891,0,0.897313166,0,0,0,0,0,0,0,0,0,0,0,0,0,101075.3225,40671.44664,143519.5299,0,0,209636.6891,0,2018/4/19 16:49,pgjp,101075.3225,40671.44664,143519.5299,0
200181,0,0,0,0,1,2017-08,50,50,管家婆,31,3507,200181,pgjp,168349.1716,231097,0,0.802262397,0,0,0,0,0,0,0,0,0,0,0,0,0,406611.1121,240000,25047.51471,0,0,231097,0,2018/4/19 16:49,pgjp,406611.1121,240000,25047.51471,0
200179,0,0,0,0,1,2017-08,30,30,管家婆,34,3506,200179,pgjp,61643.52567,92824,0,0.781508484,0,0,0,0,0,0,0,0,0,0,0,0,0,312338.7877,60000,64930.577,0,0,92824,0,2018/4/19 16:49,pgjp,312338.7877,60000,64930.577,0
199983,0,0,0,0,1,2017-08,10.152,10,管家婆,35,3504,199983,pgjp,75265.05608,200286.0737,0,0.904713905,0,0,0,0,0,0,0,0,0,0,0,0,0,71553.36104,90111.83624,440659.2193,0,0,200286.0737,0,2018/4/19 16:49,pgjp,71553.36104,90111.83624,440659.2193,0
199042,0,0,0,0,1,2017-08,30.1,30.1,管家婆,43,3500,199042,pgjp,109331.3544,438224.6667,0,0.87637367,0,0,0,0,0,0,0,0,0,0,0,0,0,320234.8891,105600,116794.0633,0,0,438224.6667,0,2018/4/19 16:49,pgjp,320234.8891,105600,116794.0633,0
198824,0,0,0,0,1,2017-08,10.152,10.1621,管家婆,42,3498,198824,pgjp,85970.42422,199885.4458,0,0.909466543,0,0,0,0,0,0,0,0,0,0,0,0,0,77463.03027,120000,82490.46643,0,0,199885.4458,0,2018/4/19 16:49,pgjp,77463.03027,120000,82490.46643,0
198494,0,0,0,0,1,2017-08,40,40,管家婆,40,3497,198494,pgjp,411282.0743,1199032.735,0,0.881265899,0,0,0,0,0,0,0,0,0,0,0,0,0,366355.212,240000,753846.2229,0,0,1199032.735,0,2018/4/19 16:49,pgjp,366355.212,240000,753846.2229,0
198229,0,0,0,0,1,2017-08,20,20,管家婆,51,3496,198229,pgjp,170722.7722,0,155068.9748,0.887012117,0,0,0,0,0,0,0,0,0,0,0,0,0,213403.4653,0,53393.05286,15506897.48,0,0,0,2018/4/19 16:49,pgjp,213403.4653,0,53393.05286,155068.9748
197890,0,0,0,0,1,2017-08,8.9,8.8919,管家婆,39,3495,197890,pgjp,67643.32672,196660.7185,0,0.874878483,0,0,0,0,0,0,0,0,0,0,0,0,0,74834.405,38879.01361,152755.2759,0,0,196660.7185,0,2018/4/19 16:49,pgjp,74834.405,38879.01361,152755.2759,0
197034,0,0,0,0,1,2017-08,20,20,管家婆,31,3490,197034,pgjp,0,0,0,0.811864817,0,0,0,0,0,0,0,0,0,0,0,0,0,252165.8638,24000,128947.6377,0,0,0,0,2018/4/19 16:49,pgjp,252165.8638,24000,128947.6377,0
197367,0,0,0,0,1,2017-08,25,25,管家婆,40,3493,197367,pgjp,209894.4264,247335.488,0,0.921957848,0,0,0,0,0,0,0,0,0,0,0,0,0,242868.0329,78000,123998.3138,0,0,247335.488,0,2018/4/19 16:49,pgjp,242868.0329,78000,123998.3138,0
201568,0,0,0,0,1,2017-08,25,15.588,管家婆,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198231,0,0,0,0,1,2017-08,12.7,12.7,管家婆,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198895,0,0,1,1,1,2017-08,2.5,1.2513,管家婆,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198710,0,0,0,0,1,2017-08,3.8,3.8,管家婆,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199522,0,0,0,0,1,2017-08,19.9,12.6937,管家婆,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199472,0,0,0,0,1,2017-08,2.5,2.5405,管家婆,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199544,0,0,0,0,1,2017-08,20,20,管家婆,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199830,0,0,0,0,1,2017-08,3.385106383,3.4,管家婆,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199980,0,0,0,0,1,2017-08,25,24.9999,管家婆,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200418,0,0,0,0,1,2017-08,2.5,2.5405,管家婆,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201042,0,0,0,0,1,2017-08,25,24.9999,管家婆,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201048,0,0,0,0,1,2017-08,25,16.3329,管家婆,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201382,0,0,1,1,1,2017-08,39,27.0442,管家婆,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202260,0,0,0,0,1,2017-08,10.8,10.8,管家婆,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198504,0,0,0,0,1,2017-08,13.5,7.5673,管家婆,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199060,0,0,0,0,1,2017-08,8.1,8.1,管家婆,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199251,0,0,0,0,1,2017-08,11.988,12,管家婆,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200075,0,0,0,0,1,2017-08,23.5,5.3599,管家婆,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200549,0,0,0,0,1,2017-08,14.006,6.3354,管家婆,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411,0,0,0,0,1,2017-08,25,20.344,管家婆,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202204,0,0,1,1,1,2017-08,6.8,4.4595,管家婆,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202056,0,0,0,0,1,2017-08,25,25,管家婆,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206973,0,0,0,0,1,2017-09,10,10,管家婆,37,3572,206973,pgjp,138767.0669,0,126946.1686,0.888888889,3373938.364,2847791.275,0,12,0,57818.00179,0.203318517,28909.0009,0.101659259,0.075,138767.0669,0.888888889,126946.1686,138767.0669,0,92941.59686,12694616.86,126946.1686,0,0,2018/4/19 16:49,pgjp,138767.0669,0,92941.59686,126946.1686
206797,0,0,0,0,1,2017-09,20,20,管家婆,40,3570,206797,pgjp,368802.8958,0,309976.1666,0.867449837,18341992.69,16560265.29,0,12,0,146752.9108,0.096861627,73376.45542,0.048430813,0.043587732,368802.8958,0.867449837,309976.1666,368802.8958,0,392814.3403,30997616.66,309976.1666,0,0,2018/4/19 16:49,pgjp,368802.8958,0,392814.3403,309976.1666
206152,0,0,0,0,1,2017-09,2,1.9999,二维火,26,151,206152,2dfire,64044.18236,27456.9617,45142.20917,0.95199408,738975.4823,0,0,6,54913.92339,16759.15999,0.25,8379.579993,0.125,0.125,64044.18236,0.95199408,72599.17087,55305.22796,99000,38535.114,4514220.917,72599.17087,27456.9617,0,2017/11/24 4:41,2dfire,55305.22796,99000,38535.114,45142.20917
206429,0,0,1,1,1,2017-09,9.964,10.7885,二维火,34,158,206429,2dfire,120714.1863,98169.60422,33999.09653,0.940833523,605282.2493,0,0,6,196339.2084,14136.66147,0.25,7068.330733,0.125,0.125,120714.1863,0.940833523,132168.7008,46650.98284,416967,141682.621,3399909.653,132168.7008,98169.60422,0,2017/11/24 4:41,2dfire,46650.98284,416967,141682.621,33999.09653
206555,0,0,0,0,1,2017-09,6,5.1363,管家婆,34,3566,206555,pgjp,12174.5361,0,7747.642878,0.808571429,1300782.026,1096027.624,0,12,0,17161.86534,0.157488807,8580.93267,0.078744403,0.070869963,12174.5361,0.808571429,7747.642878,48489.9911,0,12174.5361,774764.2878,7747.642878,0,0,2018/4/19 16:49,pgjp,48489.9911,0,12174.5361,7747.642878
206554,0,0,0,0,1,2017-09,10,9.9999,管家婆,44,3565,206554,pgjp,103250.1102,0,94034.49158,0.88771482,2870614.043,2170373.567,0,12,0,48635.89759,0.204181024,24317.9488,0.102090512,0.075,103250.1102,0.88771482,94034.49158,103250.1102,0,57945.383,9403449.158,94034.49158,0,0,2018/4/19 16:49,pgjp,103250.1102,0,57945.383,94034.49158
206340,0,0,0,0,1,2017-09,12,12,管家婆,33,3564,206340,pgjp,129159.1518,447994.6951,0,0.960295626,3825216.406,3116274.424,0,12,895989.3902,57313.93078,0.181430793,28656.96539,0.090715396,0.075,129159.1518,0.960295626,150129.1953,131448.9398,120000,568380.261,0,150129.1953,447994.6951,0,2018/4/19 16:49,pgjp,131448.9398,120000,568380.261,0
206175,0,0,0,0,1,2017-09,7.8,7.8378,管家婆,46,3563,206175,pgjp,54289.34996,0,45757.80989,0.868129974,1689154.545,1385054.97,0,12,0,24536.95848,0.183046365,12268.47924,0.091523183,0.075,54289.34996,0.868129974,45757.80989,54289.34996,0,21064.482,4575780.989,45757.80989,0,0,2018/4/19 16:49,pgjp,54289.34996,0,21064.482,45757.80989
205640,0,0,0,0,1,2017-09,8,7.9999,管家婆,22,3559,205640,pgjp,44633.92314,33161.82465,7965.89257,0.890801519,13117655.66,12404033.09,0,12,66323.64929,52955.03242,0.048685355,26477.51621,0.024342677,0.025,44633.92314,0.890801519,41127.71722,156022.5692,0,133901.7694,796589.257,41127.71722,33161.82465,0,2018/4/19 16:49,pgjp,156022.5692,0,133901.7694,7965.89257
